Date,Overnight HRV,Baseline,7d Avg
Apr 8,37ms,33ms - 46ms,36ms
Apr 7,32ms,33ms - 46ms,36ms
Apr 6,33ms,33ms - 46ms,37ms
Apr 5,30ms,33ms - 46ms,37ms
Apr 4,42ms,32ms - 46ms,38ms
Apr 3,54ms,32ms - 46ms,38ms
Apr 2,30ms,32ms - 46ms,36ms
Apr 1,33ms,32ms - 47ms,37ms
Mar 31,42ms,32ms - 47ms,38ms
Mar 30,33ms,32ms - 46ms,38ms
Mar 29,36ms,32ms - 47ms,39ms
Mar 28,38ms,32ms - 47ms,38ms
Mar 27,39ms,32ms - 46ms,39ms
Mar 26,39ms,32ms - 46ms,39ms
Mar 25,37ms,32ms - 47ms,39ms
Mar 24,45ms,32ms - 47ms,39ms
Mar 23,37ms,32ms - 47ms,39ms
Mar 22,35ms,32ms - 46ms,40ms
Mar 21,44ms,32ms - 46ms,41ms
Mar 20,38ms,32ms - 46ms,40ms
Mar 19,36ms,32ms - 46ms,40ms
Mar 18,40ms,31ms - 46ms,41ms
Mar 17,41ms,31ms - 46ms,41ms
Mar 16,44ms,31ms - 46ms,40ms
Mar 15,43ms,31ms - 46ms,37ms
Mar 14,36ms,31ms - 46ms,36ms
Mar 13,42ms,31ms - 46ms,35ms
Mar 12,40ms,31ms - 46ms,34ms